	query	qid_WT	qid_ST	qid_LT
105	land of france	q062224961	q072222111	q092218550
106	leasing electric car	q062211015	q07225471	q092221310
107	leek pie	q062215594	q072218431	q09225559
108	loa car	q06221710	q072228365	q09222458
109	madere car rental	q062223909	q072220864	q092216995
110	marrakech car rental	q062214370	q072213047	q09228083
111	martinic car rental	q062214371	q072213048	q09228084
115	mashed potatoes	q06225642	q072218020	q092213565
117	meteo bordeaux	q06225141	q072217356	q092226371
118	nice car rental	q06227974	q07229080	q092230461
119	offer of employment	q06225303	q07229516	q092226622
121	ohm energy	q062221161	q072225042	q092226645
122	oil prices	q062222953	q07228073	q092217941
124	old car	q062222119	q072226203	q092223417
125	one-way car rental	q06221722	q072228393	q09222483
126	online antivirus	q06229482	q07223631	q092210328
128	or invest money	q062214839	q072213591	q09228662
129	papillomavirus	q062214880	q072213646	q09228715
130	plug-in hybrid car	q062212372	q07227144	q092214509
131	pole employment employer	q062215018	q072213810	q09228882
132	pole employment update	q062218194	q07222532	q092235610
133	price new car	q062224549	q072221624	q092217948
134	purchase car	q062219091	q072222493	q092218988
135	purchase used car	q062216054	q072226	q092232546
136	rally vintage cars	q062211792	q07226420	q092213613
137	recipe lamb	q062215231	q072214042	q09229146
138	recipe potato salad	q062224650	q072221749	q092218107
139	rent-a-car lisbonne	q062214368	q072220862	q09228080
140	rental car ajaccio	q062211059	q07225553	q092212554
141	rental car montpellier	q062220779	q072224585	q092221401
142	rental cars	q06224921	q072217112	q092226085
143	retardant	q062218484	q07222865	q092218209
144	retirement insurance my space	q06223284	q072215123	q092223741
145	sfr customer space	q062211993	q07226691	q092213940
146	small electric car	q062211545	q07226119	q092222149
147	solar hot water	q0622914	q072227461	q09221339
148	sophie marceau	q062224848	q072221976	q092218370
149	sosh customer space	q062224851	q072221979	q092218373
150	space Aragon	q062213620	q072212202	q09224985
151	sylvie retailleau	q062224875	q072222007	q092218411
152	tax bracket	q06224681	q072216834	q092223138
153	tax rates	q062221847	q072225867	q092222984
154	the Lord of the Rings	q062217573	q07221818	q092234710
155	training pole employment	q06221204	q072227776	q09221729
156	used car	q06229333	q07229512	q09224481
168	used cars	q06229356	q07223464	q092232439
172	used electric car	q062215941	q072214883	q09224505
176	video drole	q062222032	q072226086	q092223271
177	video games	q062210914	q07225346	q092212311
178	water pump	q062218267	q072213894	q09228982
